ID студента,Вопрос №,Вопрос,Эталонный ответ,Ответ студента,Балл
202224202,3,"Ограждающими называют конструкции, которые не являются … в составе здания.",А. несущими,,0
202224202,4,… - конструктивный элемент для ограничения людей в целях безопасности. … также могут быть декоративными.,В. ограждения,,0
202224202,13,"Котлован – это тип земляного сооружения, … землеройными машинами и механизмами в виде выемки грунта ниже уровня земли.",Б. создаваемый,,0
202224202,1,"Строительная конструкция, … здание на отдельные помещения, называется ограждающей.",Б. разделяющая,,0
202224202,11,Выкапывание траншеи чаще всего выполняется с помощью … … (экскаваторов различных типов и другой техники).,В. строительных машин,,0
202224202,8,"Породы, залегающие в верхней части земной коры, называются …",В. грунтом,,0
202224202,2,"Ограждающие конструкции применяются … … помещений от ветра, шума, температуры, влаги.",В. для защиты,,0
202224202,9,"Котлован, траншея, скважина – это виды …",А. выемок,,0
202224202,10,"Вид выемки в грунте, который имеет длину большую, чем ширину и высоту (глубину) – это …",Б. траншея,,0
202224202,12,Траншеи выкапывают … … фундаментов.,А. при строительстве,,0
202224202,7,Гидроизоляция – это защита … …,А. от воды,A.от воды,2
202224202,14,"По … строительные конструкции подразделяют на бетонные, металлоконструкции, деревянные, каменные, полимерные и комбинированные.",В. материалу,C.материалу,1
202224202,15,По назначению строительные конструкции принято … … две большие группы: несущие и ограждающие конструкции.,В. подразделять на,C.подразделять на,1
202224202,5,Кровля - … элемент покрытия здания.,В. верхний,C.верхний,2
202224202,6,"Кровля может быть …, дополнительно выполняя и теплоизоляционную функцию.",Б. утеплённой,B.утеплённой,2
202224009,11,Выкапывание траншеи чаще всего выполняется с помощью … … (экскаваторов различных типов и другой техники).,В. строительных машин,,0
202224009,9,"Котлован, траншея, скважина – это виды …",А. выемок,,0
202224009,8,"Породы, залегающие в верхней части земной коры, называются …",В. грунтом,,0
202224009,5,Кровля - … элемент покрытия здания.,В. верхний,,0
202224009,13,"Котлован – это тип земляного сооружения, … землеройными машинами и механизмами в виде выемки грунта ниже уровня земли.",Б. создаваемый,,0
202224009,6,"Кровля может быть …, дополнительно выполняя и теплоизоляционную функцию.",Б. утеплённой,,0
202224009,15,По назначению строительные конструкции принято … … две большие группы: несущие и ограждающие конструкции.,В. подразделять на,,0
202224009,3,"Ограждающими называют конструкции, которые не являются … в составе здания.",А. несущими,,0
202224009,7,Гидроизоляция – это защита … …,А. от воды,,0
202224009,4,… - конструктивный элемент для ограничения людей в целях безопасности. … также могут быть декоративными.,В. ограждения,,0
202224009,1,"Строительная конструкция, … здание на отдельные помещения, называется ограждающей.",Б. разделяющая,B.разделяющая,2
202224009,14,"По … строительные конструкции подразделяют на бетонные, металлоконструкции, деревянные, каменные, полимерные и комбинированные.",В. материалу,C.материалу,1
202224009,12,Траншеи выкапывают … … фундаментов.,А. при строительстве,A.при строительстве,2
