ID студента,Вопрос №,Вопрос,Эталонный ответ,Ответ студента,Балл
202225017,1,Как называется способность безотказной работы машины без вынужденных простоев из-за неисправности при правильном управлении и нормальных нагрузках?,Надежность,,0
202225017,2,"Как называется обеспечение минимального расхода энергоресурсов (электроэнергии или топлива), смазочных и других эксплуатационных материалов, а также трудозатрат на управление машиной и уход за ней?",Экономичность,Внедрен передов энергосберега технолог ‌， оптимизац производствен процесс и оборудован планировк， совершенствова энергетическ систем управлен， укрепля оборудован техническ обслуживан и управлен， логичн выбор топлив и оптимизац процесс сгоран， ‌ исследова нов топлив и экологическ чист энергетическ,1
202225017,3,Как называется возможность перемещения машины самоходом или перевозки ее на транспорте в собранном виде?,Транспортабельность,Уйт самостоятельн разрабатыва ‌， собира-перевозк ‌,1
202225017,4,Как называется возможность удобного технического обслуживания и ремонта машины для поддержания ее в работоспособном состоянии?,Ремонтопригодность,,0
202225017,5,"Как называется способность преодолевать неровности местности, водные преграды, рыхлые грунты, снежный покров?",Проходимость,Транспортн средств ‌ полов путём,1
202225017,6,Как называется способность разворачиваться в естественных условиях с минимальным радиусом поворота?,Маневренность,Судн путешеств област ‌，,0
202225017,7,"Как называется техническая характеристика строительной машины, выражаемая в
количестве продукции (в массе, объеме или штуках), вырабатываемой в единицу
времени (час, смену, месяц, год)?",Производительность,Производительн， ‌ точност и стабильн， ‌ потреблен энерг и HuanBaoXing， ‌ автоматизац и разумн уровн， ‌ эксплуатацион расход и использован продолжительн жизн ‌,1
202225017,8,"Как называется совокупность силового оборудования, трансмиссии и систем управления, обеспечивающих приведение в действие механизмов машин и рабочих органов?",Привод,,0
202225017,9,"Как называется передаточный механизм, который позволяет изменять по величине и направлению скорости, крутящие моменты и усилия?",Трансмиссия,,0
202225017,10,Как называется способность машины противостоять действию опрокидывающих сил?,Устойчивость,,0
202225009,1,Как называется способность безотказной работы машины без вынужденных простоев из-за неисправности при правильном управлении и нормальных нагрузках?,Надежность,Безотказность,2
202225009,2,"Как называется обеспечение минимального расхода энергоресурсов (электроэнергии или топлива), смазочных и других эксплуатационных материалов, а также трудозатрат на управление машиной и уход за ней?",Экономичность,,0
202225009,3,Как называется возможность перемещения машины самоходом или перевозки ее на транспорте в собранном виде?,Транспортабельность,,0
202225009,4,Как называется возможность удобного технического обслуживания и ремонта машины для поддержания ее в работоспособном состоянии?,Ремонтопригодность,Ремонтопригодность,2
202225009,5,"Как называется способность преодолевать неровности местности, водные преграды, рыхлые грунты, снежный покров?",Проходимость,Проходимость,2
202225009,6,Как называется способность разворачиваться в естественных условиях с минимальным радиусом поворота?,Маневренность,,0
202225009,7,"Как называется техническая характеристика строительной машины, выражаемая в
количестве продукции (в массе, объеме или штуках), вырабатываемой в единицу
времени (час, смену, месяц, год)?",Производительность,,0
202225009,8,"Как называется совокупность силового оборудования, трансмиссии и систем управления, обеспечивающих приведение в действие механизмов машин и рабочих органов?",Привод,Привод,2
202225009,9,"Как называется передаточный механизм, который позволяет изменять по величине и направлению скорости, крутящие моменты и усилия?",Трансмиссия,Коробка передач,1
202225009,10,Как называется способность машины противостоять действию опрокидывающих сил?,Устойчивость,,0
202225007,1,Как называется способность безотказной работы машины без вынужденных простоев из-за неисправности при правильном управлении и нормальных нагрузках?,Надежность,Способность безотказной работы машины без вынужденных простоев из - за неисправности при правильном управлении и нормальных нагрузках называется надёжность (reliability).,2
202225007,2,"Как называется обеспечение минимального расхода энергоресурсов (электроэнергии или топлива), смазочных и других эксплуатационных материалов, а также трудозатрат на управление машиной и уход за ней?",Экономичность,,0
202225007,3,Как называется возможность перемещения машины самоходом или перевозки ее на транспорте в собранном виде?,Транспортабельность,,0
202225007,4,Как называется возможность удобного технического обслуживания и ремонта машины для поддержания ее в работоспособном состоянии?,Ремонтопригодность,,0
202225007,5,"Как называется способность преодолевать неровности местности, водные преграды, рыхлые грунты, снежный покров?",Проходимость,Как называется способность преодолевать неровности местности， водные преграды， рыхлые грунты， снежный покров?,1
202225007,6,Как называется способность разворачиваться в естественных условиях с минимальным радиусом поворота?,Маневренность,,0
202225007,7,"Как называется техническая характеристика строительной машины, выражаемая в
количестве продукции (в массе, объеме или штуках), вырабатываемой в единицу
времени (час, смену, месяц, год)?",Производительность,Такая техническая характеристика называется производительность (productivity / производительность в переводе с английского). Она измеряется количеством продукции， которое строительная машина может производить за единицу времени， будь то в массе， объеме или штуках.,2
202225007,8,"Как называется совокупность силового оборудования, трансмиссии и систем управления, обеспечивающих приведение в действие механизмов машин и рабочих органов?",Привод,,0
202225007,9,"Как называется передаточный механизм, который позволяет изменять по величине и направлению скорости, крутящие моменты и усилия?",Трансмиссия,Такой передаточный механизм называется переключатель передач или коробка передач (transmission). Она используется для изменения скорости， крутящих моментов и усилий в автомобилях， строительных машинах и других транспортных средствах. Например， в автомобиле коробка передач позволяет изменять отношение между оборотами двигателя и оборотами колес， что позволяет управлять скоростью и силой тяги автомобиля в зависимости от условий движения.,2
202225007,10,Как называется способность машины противостоять действию опрокидывающих сил?,Устойчивость,Способность машины противостоять действию опрокидывающих сил называется устойчивость к опрокидыванию (англ. rollover stability).,2
202225018,1,Как называется способность безотказной работы машины без вынужденных простоев из-за неисправности при правильном управлении и нормальных нагрузках?,Надежность,Надежность в работе – способность безотказной работы машины без вынужденных простоев из-за неисправности при правильном управлении и нормальных нагрузках.,2
202225018,2,"Как называется обеспечение минимального расхода энергоресурсов (электроэнергии или топлива), смазочных и других эксплуатационных материалов, а также трудозатрат на управление машиной и уход за ней?",Экономичность,,0
202225018,3,Как называется возможность перемещения машины самоходом или перевозки ее на транспорте в собранном виде?,Транспортабельность,,0
202225018,4,Как называется возможность удобного технического обслуживания и ремонта машины для поддержания ее в работоспособном состоянии?,Ремонтопригодность,Ремонтопригодность – возможность удобного технического обслуживания и ремонта машины для поддержания ее в работоспособном состоянии.,2
202225018,5,"Как называется способность преодолевать неровности местности, водные преграды, рыхлые грунты, снежный покров?",Проходимость,,0
202225018,6,Как называется способность разворачиваться в естественных условиях с минимальным радиусом поворота?,Маневренность,Маневренность,2
202225018,7,"Как называется техническая характеристика строительной машины, выражаемая в
количестве продукции (в массе, объеме или штуках), вырабатываемой в единицу
времени (час, смену, месяц, год)?",Производительность,Производительность – важнейшая техническая характеристика машины: это количество продукции (в массе， объеме или штуках)， вырабатываемой в единицу времени (час， смену， месяц， год).,2
202225018,8,"Как называется совокупность силового оборудования, трансмиссии и систем управления, обеспечивающих приведение в действие механизмов машин и рабочих органов?",Привод,Привод,2
202225018,9,"Как называется передаточный механизм, который позволяет изменять по величине и направлению скорости, крутящие моменты и усилия?",Трансмиссия,,0
202225018,10,Как называется способность машины противостоять действию опрокидывающих сил?,Устойчивость,,0
202225122,1,Как называется способность безотказной работы машины без вынужденных простоев из-за неисправности при правильном управлении и нормальных нагрузках?,Надежность,надежность,2
202225122,2,"Как называется обеспечение минимального расхода энергоресурсов (электроэнергии или топлива), смазочных и других эксплуатационных материалов, а также трудозатрат на управление машиной и уход за ней?",Экономичность,,0
202225122,3,Как называется возможность перемещения машины самоходом или перевозки ее на транспорте в собранном виде?,Транспортабельность,,0
202225122,4,Как называется возможность удобного технического обслуживания и ремонта машины для поддержания ее в работоспособном состоянии?,Ремонтопригодность,,0
202225122,5,"Как называется способность преодолевать неровности местности, водные преграды, рыхлые грунты, снежный покров?",Проходимость,проходимость,2
202225122,6,Как называется способность разворачиваться в естественных условиях с минимальным радиусом поворота?,Маневренность,,0
202225122,7,"Как называется техническая характеристика строительной машины, выражаемая в
количестве продукции (в массе, объеме или штуках), вырабатываемой в единицу
времени (час, смену, месяц, год)?",Производительность,производительность,2
202225122,8,"Как называется совокупность силового оборудования, трансмиссии и систем управления, обеспечивающих приведение в действие механизмов машин и рабочих органов?",Привод,,0
202225122,9,"Как называется передаточный механизм, который позволяет изменять по величине и направлению скорости, крутящие моменты и усилия?",Трансмиссия,передаточный механизм или ‌трансмиссия,2
202225122,10,Как называется способность машины противостоять действию опрокидывающих сил?,Устойчивость,устойчивость,2
202225002,1,Как называется способность безотказной работы машины без вынужденных простоев из-за неисправности при правильном управлении и нормальных нагрузках?,Надежность,,0
202225002,2,"Как называется обеспечение минимального расхода энергоресурсов (электроэнергии или топлива), смазочных и других эксплуатационных материалов, а также трудозатрат на управление машиной и уход за ней?",Экономичность,Экономичность,2
202225002,3,Как называется возможность перемещения машины самоходом или перевозки ее на транспорте в собранном виде?,Транспортабельность,,0
202225002,4,Как называется возможность удобного технического обслуживания и ремонта машины для поддержания ее в работоспособном состоянии?,Ремонтопригодность,,0
202225002,5,"Как называется способность преодолевать неровности местности, водные преграды, рыхлые грунты, снежный покров?",Проходимость,Проходимость,2
202225002,6,Как называется способность разворачиваться в естественных условиях с минимальным радиусом поворота?,Маневренность,,0
202225002,7,"Как называется техническая характеристика строительной машины, выражаемая в
количестве продукции (в массе, объеме или штуках), вырабатываемой в единицу
времени (час, смену, месяц, год)?",Производительность,,0
202225002,8,"Как называется совокупность силового оборудования, трансмиссии и систем управления, обеспечивающих приведение в действие механизмов машин и рабочих органов?",Привод,Привод (или Силовая установка),2
202225002,9,"Как называется передаточный механизм, который позволяет изменять по величине и направлению скорости, крутящие моменты и усилия?",Трансмиссия,Коробка передач,1
202225002,10,Как называется способность машины противостоять действию опрокидывающих сил?,Устойчивость,Устойчивость,2
202225013,1,Как называется способность безотказной работы машины без вынужденных простоев из-за неисправности при правильном управлении и нормальных нагрузках?,Надежность,,0
202225013,2,"Как называется обеспечение минимального расхода энергоресурсов (электроэнергии или топлива), смазочных и других эксплуатационных материалов, а также трудозатрат на управление машиной и уход за ней?",Экономичность,Обеспечение минимального расхода энергоресурсов， смазочных и других эксплуатационных материалов， а также трудозатрат на управление машиной и уход за ней называется эффективность эксплуатации машины или экономия эксплуатации машины.,2
