ID студента,Вопрос №,Вопрос,Эталонный ответ,Ответ студента,Балл
202323401,3,"Вероятность падения бутерброда маслом вниз равна. Определить вероятность того, что из четырех одинаковых упавших бутербродов не более трех упадет маслом вниз.",0.76,,0
202323401,5,"Монету бросают несколько раз. Найти вероятность того, что герб выпадет более пяти раз.",0.0625,,0
202323401,4,"Игральный кубик брошен несколько раз. Определить вероятность того, что шестерка выпадет не более одного раза.",0.737,,0
202323401,9,"Вероятность поражения мишени при одиночном выстреле задана. Найти вероятность того, что при нескольких выстрелах мишень будет поражена не менее пяти раз.",0.885,,0
202323401,10,"Монету бросают несколько раз. Найти вероятность того, что герб выпадет менее трех раз.",0.49,,0
202323401,6,"Монету бросают несколько раз. Найти вероятность того, что герб выпадет более четырех раз.",0.109,0.1094,1
202323401,8,"Определить вероятность того, что в семье, имеющей шесть детей, не более четырех мальчиков, если вероятность рождения мальчика и девочки считать одинаковыми.",0.89,0.8906,1
202323401,2,"Вероятность появления события в каждом из 100 независимых испытаний постоянна и равна 0,55. Найти вероятность того, что событие появится менее чем в половине случаев.",24.75,13.4%,1
202323401,1,"Определить вероятность того, что в семье, имеющей пять детей, не более трех девочек, если вероятность рождения мальчика и девочки считать одинаковыми.",0.8125,0.8125,2
202323401,7,"Игральный кубик брошен несколько раз. Определить вероятность того, что шестерка выпадет не более одного раза.",0.737,0.647,1
202323422,10,"Монету бросают несколько раз. Найти вероятность того, что герб выпадет менее трех раз.",0.49,,0
202323422,4,"Игральный кубик брошен несколько раз. Определить вероятность того, что шестерка выпадет не более одного раза.",0.737,,0
202323422,5,"Монету бросают несколько раз. Найти вероятность того, что герб выпадет более пяти раз.",0.0625,,0
202323422,8,"Определить вероятность того, что в семье, имеющей шесть детей, не более четырех мальчиков, если вероятность рождения мальчика и девочки считать одинаковыми.",0.89,,0
202323422,9,"Вероятность поражения мишени при одиночном выстреле задана. Найти вероятность того, что при нескольких выстрелах мишень будет поражена не менее пяти раз.",0.885,,0
202323422,1,"Определить вероятность того, что в семье, имеющей пять детей, не более трех девочек, если вероятность рождения мальчика и девочки считать одинаковыми.",0.8125,81.25%,1
202323422,2,"Вероятность появления события в каждом из 100 независимых испытаний постоянна и равна 0,55. Найти вероятность того, что событие появится менее чем в половине случаев.",24.75,13.35%,1
202323422,3,"Вероятность падения бутерброда маслом вниз равна. Определить вероятность того, что из четырех одинаковых упавших бутербродов не более трех упадет маслом вниз.",0.76,75.99%,1
202323422,7,"Игральный кубик брошен несколько раз. Определить вероятность того, что шестерка выпадет не более одного раза.",0.737,64.7%,1
202323422,6,"Монету бросают несколько раз. Найти вероятность того, что герб выпадет более четырех раз.",0.109,10.94%,1
202323415,6,"Монету бросают несколько раз. Найти вероятность того, что герб выпадет более четырех раз.",0.109,,0
202323415,7,"Игральный кубик брошен несколько раз. Определить вероятность того, что шестерка выпадет не более одного раза.",0.737,,0
