ID студента,Оценка (из 30)
202224202,8
202224009,9
202224116,9
202224011,8
202224219,10
202224214,10
202224306,10
202224309,8
202224123,9
202224318,10
22224204,10
202224026,10
202224021,9
202224303,9
202224020,9
202224111,9
202224025,10
202224107,10
202224017,8
202224313,10
202224303,8
202224002,9
202224223,10
20224105,10
202224024,10
202224311,8
202224106,10
202224215,10
202224207,10
202224110,7
202224312,9
202224310,9
202224120,9
202224314,9
202224114,10
202224022,9
202224019,8
202224305,9
202224225,10
2022224222,10
202224308,9
202224304,9
202224209,10
202224223,9
202224018,10
202224320,10
202224201,9
202224206,10
202224001,10
202224212,9
20224124,10
202224102,9
202224014,9
202224015,10
202224003,10
202224013,10
202224109,10
202224203,9
202224208,10
202224007,10
202224004,9
202224010,9
202224216,9
202224113,10
202224210,8
202224125,8
202224211,8
202224006,9
202224012,10
202224226,9
202224321,9
202224220,10
202224122,8
202224008,10
202224224,9
202224213,9
202224217,9
202224023,9
202224027,10
202224121,10
202224118,10
202224316,9
202122804,9
202224115,8
202224315,9
202224101,10
202224323,9
202224317,7
202224218,10
202224319,9
202224005,10
