ID студента,Оценка (из 10)
202224705,1
202224601,3
202224620,2
202224701,3
202224607,3
202224606,2
202224616,2
202224717,1
202224716,3
202224631,4
202224626,2
202224707,4
22224608,3
202224706,4
202224710,2
202224708,3
202224719,2
202224704,2
202224721,3
202224720,3
202224625,1
202224602,3
202224104,3
202224709,4
202224609,2
202224604,4
202224713,2
202224629,4
202224702,3
202224728,3
202224715,3
202224703,3
202224729,2
202224614,2
202224718,3
202224627,3
202224615,2
202224726,2
202224611,4
202224725,4
202224622,2
202224628,3
202224621,3
202224630,3
202224724,3
202224612,3
202224617,4
202224712,3
202224618,4
202224711,3
202224623,2
202224730,2
202224722,4
202224727,3
202224610,2
202224605,2
202224603,4
202123502,3
202123510,2
202123420,3
202123405,1
202123512,2
202123404,3
202123407,3
202123514,2
202123506,3
202123515,2
201923303,4
202123519,2
202123521,5
202123401,2
202123429,4
202123504,3
202123520,3
202123402,3
202123426,2
202123501,2
202123522,2
202123419,3
202123517,3
202123529,2
202123516,3
202123423,3
202123509,4
202123410,2
202123403,3
202123424,3
202123511,3
202123525,3
202123526,3
202123406,3
202123417,1
202123413,3
202123530,4
202123408,2
202123513,2
202123528,3
202123523,3
202123425,1
202123416,2
202123421,1
202123508,3
202123418,3
202123412,2
202123503,3
202123524,2
202123428,2
202123518,4
202123422,2
